parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
1,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
2,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
3,300,0.01,3,15,3.141592654,0,0,0.02,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
4,300,0.01,3,15,3.141592654,0,0,0.02,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
5,300,0.01,3,15,3.141592654,0,0,0.05,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
6,300,0.01,3,15,3.141592654,0,0,0.05,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
7,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
8,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
9,300,0.01,3,15,3.141592654,0,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
10,300,0.01,3,15,3.141592654,0,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
11,300,0.01,3,15,3.141592654,0,0,0.5,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
12,300,0.01,3,15,3.141592654,0,0,0.5,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
13,300,0.01,3,15,3.141592654,0,0,0.1,1,7,1,1,5,10,0.6,1,1,2,1,1,1,1
14,300,0.01,3,15,3.141592654,0,0,0.1,1,7,1,1,5,10,0.6,1,1,2,1,10,1,1
15,300,0.01,3,15,3.141592654,0,0,0.1,3,7,1,1,5,10,0.6,1,1,2,1,1,1,1
16,300,0.01,3,15,3.141592654,0,0,0.1,3,7,1,1,5,10,0.6,1,1,2,1,10,1,1
17,300,0.01,3,15,3.141592654,0,0,0.1,5,7,1,1,5,10,0.6,1,1,2,1,1,1,1
18,300,0.01,3,15,3.141592654,0,0,0.1,5,7,1,1,5,10,0.6,1,1,2,1,10,1,1
19,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
20,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
21,300,0.01,3,15,3.141592654,0,0,0.1,20,7,1,1,5,10,0.6,1,1,2,1,1,1,1
22,300,0.01,3,15,3.141592654,0,0,0.1,20,7,1,1,5,10,0.6,1,1,2,1,10,1,1
23,300,0.01,3,15,3.141592654,0,0,0.1,30,7,1,1,5,10,0.6,1,1,2,1,1,1,1
24,300,0.01,3,15,3.141592654,0,0,0.1,30,7,1,1,5,10,0.6,1,1,2,1,10,1,1
25,300,0.01,3,15,3.141592654,0,0,0.1,10,2,1,1,5,10,0.6,1,1,2,1,1,1,1
26,300,0.01,3,15,3.141592654,0,0,0.1,10,2,1,1,5,10,0.6,1,1,2,1,10,1,1
27,300,0.01,3,15,3.141592654,0,0,0.1,10,3,1,1,5,10,0.6,1,1,2,1,1,1,1
28,300,0.01,3,15,3.141592654,0,0,0.1,10,3,1,1,5,10,0.6,1,1,2,1,10,1,1
29,300,0.01,3,15,3.141592654,0,0,0.1,10,4,1,1,5,10,0.6,1,1,2,1,1,1,1
30,300,0.01,3,15,3.141592654,0,0,0.1,10,4,1,1,5,10,0.6,1,1,2,1,10,1,1
31,300,0.01,3,15,3.141592654,0,0,0.1,10,5,1,1,5,10,0.6,1,1,2,1,1,1,1
32,300,0.01,3,15,3.141592654,0,0,0.1,10,5,1,1,5,10,0.6,1,1,2,1,10,1,1
33,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
34,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
35,300,0.01,3,15,3.141592654,0,0,0.1,10,10,1,1,5,10,0.6,1,1,2,1,1,1,1
36,300,0.01,3,15,3.141592654,0,0,0.1,10,10,1,1,5,10,0.6,1,1,2,1,10,1,1
37,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.1,1,5,10,0.6,1,1,2,1,1,1,1
38,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.1,1,5,10,0.6,1,1,2,1,10,1,1
39,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.3,1,5,10,0.6,1,1,2,1,1,1,1
40,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.3,1,5,10,0.6,1,1,2,1,10,1,1
41,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.5,1,5,10,0.6,1,1,2,1,1,1,1
42,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.5,1,5,10,0.6,1,1,2,1,10,1,1
43,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.7,1,5,10,0.6,1,1,2,1,1,1,1
44,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.7,1,5,10,0.6,1,1,2,1,10,1,1
45,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.9,1,5,10,0.6,1,1,2,1,1,1,1
46,300,0.01,3,15,3.141592654,0,0,0.1,10,7,0.9,1,5,10,0.6,1,1,2,1,10,1,1
47,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
48,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
49,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
50,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
51,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,2,5,10,0.6,1,1,2,1,1,1,1
52,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,2,5,10,0.6,1,1,2,1,10,1,1
53,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,3,5,10,0.6,1,1,2,1,1,1,1
54,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,3,5,10,0.6,1,1,2,1,10,1,1
55,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,4,5,10,0.6,1,1,2,1,1,1,1
56,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,4,5,10,0.6,1,1,2,1,10,1,1
57,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,5,5,10,0.6,1,1,2,1,1,1,1
58,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,5,5,10,0.6,1,1,2,1,10,1,1
59,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,2,10,0.6,1,1,2,1,1,1,1
60,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,2,10,0.6,1,1,2,1,10,1,1
61,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,3,10,0.6,1,1,2,1,1,1,1
62,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,3,10,0.6,1,1,2,1,10,1,1
63,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
64,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
65,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,7,10,0.6,1,1,2,1,1,1,1
66,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,7,10,0.6,1,1,2,1,10,1,1
67,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,10,10,0.6,1,1,2,1,1,1,1
68,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,10,10,0.6,1,1,2,1,10,1,1
69,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,5,0.6,1,1,2,1,1,1,1
70,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,5,0.6,1,1,2,1,10,1,1
71,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
72,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
73,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,15,0.6,1,1,2,1,1,1,1
74,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,15,0.6,1,1,2,1,10,1,1
75,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,20,0.6,1,1,2,1,1,1,1
76,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,20,0.6,1,1,2,1,10,1,1
77,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,30,0.6,1,1,2,1,1,1,1
78,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,30,0.6,1,1,2,1,10,1,1
79,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
80,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
81,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,2,2,2,1,1,1,1
82,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,2,2,2,1,10,1,1
83,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,5,5,2,1,1,1,1
84,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,5,5,2,1,10,1,1
85,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,10,10,2,1,1,1,1
86,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,10,10,2,1,10,1,1
87,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,0.2,1,1,1,1
88,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,0.2,1,10,1,1
89,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,0.5,1,1,1,1
90,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,0.5,1,10,1,1
91,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,1,1,1,1,1
92,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,1,1,10,1,1
93,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
94,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
95,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,4,1,1,1,1
96,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,4,1,10,1,1
97,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,6.28,1,1,1,1
98,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,6.28,1,10,1,1
99,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,1,1,1
100,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1
101,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
102,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
103,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,2,1,1,1
104,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,2,10,1,1
105,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,5,1,1,1
106,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,5,10,1,1
107,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,10,1,1,1
108,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,10,10,1,1
109,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,20,1,1,1
110,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,20,10,1,1
111,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,50,1,1,1
112,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,50,10,1,1
113,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,0.1,1,1
114,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
115,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1
116,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1
117,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
118,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,20,1,1
119,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,50,1,1
120,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,0.1,1
121,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,0.1,1
122,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
123,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
124,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,2,1
125,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,2,1
126,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,5,1
127,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,5,1
128,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,10,1
129,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,10,1
130,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,20,1
131,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,20,1
132,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,50,1
133,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,50,1
134,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,0.1
135,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,0.1
136,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
137,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
138,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,2
139,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,2
140,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,5
141,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,5
142,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,10
143,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,10
144,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,20
145,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,20
146,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,50
147,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,50